trial-number,standard,comparison,comparison.more.intense,presentation.order,response
1,600.0,600.0,1,standard first,2
2,600.0,400.0,1,standard second,1
3,600.0,900.0,1,standard first,2
4,600.0,1200.0,1,standard first,2
5,600.0,1200.0,0,standard second,2
6,600.0,250.0,0,standard second,2
7,600.0,600.0,0,standard second,2
8,600.0,1000.0,0,standard second,2
9,600.0,400.0,0,standard first,1
10,600.0,800.0,0,standard first,1
11,600.0,1000.0,1,standard first,2
12,600.0,900.0,1,standard second,1
13,600.0,800.0,1,standard second,1
14,600.0,250.0,0,standard first,1
15,600.0,1200.0,1,standard first,2
16,600.0,1000.0,1,standard first,2
